Origin,Distance_Result
126443,0.128065
126816,0.109329
127387,0.1894
128975,0.184804
131154,0.049478
132516,0.933975
132570,0.308015
132695,0.138466
133025,0.120229
134934,0.054812
135393,0.029802
135465,0.064203
135706,0.119877
136493,0.190876
138216,0.435371
139624,0.321785
140133,0.301259
140425,0.06549
140973,0.666384
141154,0.194103
141335,0.240909
141890,0.122099
141984,0.081622
142069,0.488776
144087,0.09765
144148,0.252698
145064,0.124447
145188,0.119653
145994,0.020473
146754,0.215007
147586,0.207685
148201,0.175263
148259,0.157824
148825,0.105424
149287,0.121289
149777,0.432064
150804,0.20092
151199,0.105174
151478,0.243063
152071,0.318661
152078,0.377307
152259,0.24651
152263,0.190691
152520,0.31009
153405,0.131379
153780,0.298557
154934,0.070698
155296,0.282172
157673,0.068039
158061,0.221708
158176,0.180357
158290,0.230018
158913,0.159987
158955,0.160395
159749,0.066547
159815,0.062846
159913,0.115924
160609,0.094078
160994,0.161986
161366,0.148139
161394,0.07045
161996,0.21488
162493,0.259029
162508,0.1647
163627,0.418408
163809,0.19797
163814,0.200357
163836,0.554977
164989,0.061716
165080,0.100491
165461,0.193004
165824,0.212782
166006,0.084199
166172,0.140499
166541,0.184121
166983,0.133751
167013,0.052961
167017,0.145855
167222,0.145873
167482,0.075967
168084,0.415818
168123,0.296069
168546,0.238658
168810,0.166537
169002,0.154461
169152,0.118999
169306,0.138958
169464,0.358658
169483,0.067744
170420,0.244651
170761,0.037212
171776,0.201924
172700,0.081621
172870,0.091237
173072,0.160199
173151,0.209217
173742,0.155184
174527,0.038768
174966,0.23718
176135,0.099236
176653,0.096069
176962,0.138382
177421,0.077788
177495,0.038476
177606,0.389154
179670,0.289801
179741,0.055888
180507,0.065212
180792,0.029225
181972,0.268736
182069,0.051141
182095,0.069597
182177,0.412896
182649,0.342122
185266,0.110414
187488,0.047957
187566,0.170935
187986,0.076459
188146,0.115047
188661,0.156836
188674,0.083727
189135,0.376116
189181,0.323325
189732,0.053308
189787,0.12337
190267,0.008515
190542,0.030021
190968,0.23631
190974,0.167417
191075,0.459633
193105,0.504097
193333,0.153168
193393,0.087503
193853,0.073718
194154,0.047276
195123,0.024484
195233,0.267716
195240,0.265101
195578,0.092771
195971,0.475921
195989,0.109216
196010,0.154524
197155,0.257076
197753,0.217791
197942,0.257194
199195,0.105563
199312,0.145511
200645,0.162615
200955,0.035753
201992,0.259261
202273,0.164199
203901,0.074932
204065,0.182568
204833,0.263688
204959,0.308133
205043,0.040488
205485,0.129106
205735,0.029583
205867,0.305066
206071,0.192702
206316,0.147466
206772,0.498664
206957,0.720264
208148,0.160551
208889,0.31963
209310,0.377197
211078,0.349117
211974,0.205303
212109,0.294789
212178,0.019735
212544,0.131349
213272,0.20371
213330,0.083735
214917,2.654647
215560,0.159992
215784,0.02163
215907,0.131945
217580,0.116284
218358,0.190176
219066,0.195585
219482,0.165247
219793,0.159381
219818,0.169754
219922,0.161495
220351,0.0776
220563,0.239186
220946,0.504927
221043,0.012501
221097,0.063146
221618,0.058026
222054,0.161513
222304,0.068573
223930,0.196274
224004,0.110989
224006,0.069991
224510,0.148436
225297,0.083661
225306,0.128665
225887,0.041172
225926,0.127512
225976,0.769402
226021,0.228266
227715,0.116007
